acquired,clouds,clear,heavy_haze,light_haze,sensor,quality
2019-11-12T05:51:08.103686Z,54,7,36,3,PS2.SD,test
2019-10-20T05:22:10.676757Z,0,98,0,2,PS2,standard
2019-12-05T05:22:30.420855Z,0,100,0,0,PS2,standard
2019-12-04T05:23:12.314224Z,0,21,18,61,PS2,standard
2019-12-09T05:27:42.339131Z,47,16,37,0,PS2,test
2019-12-08T05:39:37.899617Z,0,93,0,7,PS2.SD,standard
2019-12-07T05:23:00.553607Z,0,100,0,0,PS2,standard
2019-12-04T05:19:58.699479Z,0,59,1,40,PS2,standard
2019-12-04T05:49:52.235058Z,0,46,0,54,PS2.SD,standard
2019-12-01T05:21:52.460447Z,0,100,0,0,PS2,standard
2019-11-30T04:03:24.857046Z,0,99,0,1,PS2,standard
2019-11-28T05:21:34.125982Z,48,16,31,3,PS2,standard
2019-11-27T05:21:12.86471Z,76,13,7,5,PS2,test
2019-11-26T05:22:30.593977Z,22,15,60,3,PS2,standard
2019-11-26T05:49:52.166747Z,9,55,24,12,PS2.SD,standard
2019-11-25T04:02:24.471888Z,0,65,8,27,PS2,standard
2019-11-25T05:10:11.30688Z,0,100,0,0,PS2,standard
2019-11-24T04:02:03.491117Z,0,99,0,1,PS2,standard
2019-11-24T05:41:10.207755Z,0,100,0,0,PS2.SD,standard
2019-11-24T05:41:12.240943Z,0,100,0,0,PS2.SD,standard
2019-11-23T05:20:26.421741Z,0,96,0,4,PS2,standard
2019-11-21T05:21:20.600829Z,13,27,60,0,PS2,standard
2019-11-19T05:19:40.336909Z,0,100,0,0,PS2,standard
2019-11-19T05:50:19.564983Z,0,33,2,65,PS2.SD,standard
2019-11-18T05:40:03.350043Z,0,100,0,0,PS2.SD,standard
2019-11-17T04:02:13.601332Z,0,98,0,2,PS2,standard
2019-11-17T05:20:36.903561Z,0,100,0,0,PS2,standard
2019-11-15T05:19:00.140942Z,8,3,87,2,PS2,standard
2019-11-11T04:04:10.806613Z,20,4,59,17,PS2,standard
2019-11-11T05:22:27.827714Z,73,0,24,3,PS2,test
2019-11-10T05:20:28.023848Z,0,100,0,0,PS2,standard
2019-11-08T05:19:15.02858Z,0,100,0,0,PS2,standard
2019-11-05T05:51:08.993182Z,0,100,0,0,PS2.SD,standard
2019-11-04T05:35:36.670483Z,0,100,0,0,PS2.SD,standard
2019-11-01T05:20:12.583599Z,0,13,66,20,PS2,standard
2019-10-29T05:51:05.219758Z,0,3,57,40,PS2.SD,standard
2019-10-27T05:21:05.328978Z,0,100,0,0,PS2,standard
2019-10-26T05:18:28.354547Z,0,67,0,33,PS2,standard
2019-10-25T05:19:06.81239Z,0,16,1,83,PS2,standard
2019-10-25T04:06:44.032765Z,0,6,87,8,PS2,standard
2019-10-24T05:20:50.66985Z,0,100,0,0,PS2,standard
2019-10-23T04:07:36.281827Z,0,100,0,0,PS2,standard
2019-10-23T05:20:01.139397Z,0,100,0,0,PS2,standard
2019-10-22T05:19:26.687104Z,0,100,0,0,PS2,standard
2019-10-21T04:07:22.624517Z,0,100,0,0,PS2,standard
2019-10-21T05:22:00.034689Z,0,100,0,0,PS2,standard
2019-10-20T04:08:30.881643Z,0,100,0,0,PS2,standard
2019-10-23T08:03:55.88576Z,0,100,0,0,PS2,standard
