acquired,clouds,clear,heavy_haze,light_haze,sensor,quality
2019-12-09T05:46:49.377423Z,57,2,36,4,PS2.SD,standard
2019-12-09T05:46:51.446788Z,46,3,40,11,PS2.SD,standard
2019-12-17T05:46:39.896577Z,99,1,0,0,PS2.SD,test
2019-10-20T05:35:40.008003Z,0,87,3,10,PS2.SD,standard
2019-10-17T05:35:10.737644Z,0,0,0,100,PS2.SD,standard
2019-11-15T05:39:16.137233Z,20,9,68,2,PS2.SD,test
2019-12-15T05:41:06.089464Z,98,2,0,0,PS2.SD,test
2019-12-15T05:41:04.043168Z,99,1,0,0,PS2.SD,standard
2019-12-14T05:17:37.670719Z,32,51,7,6,PS2,standard
2019-12-11T05:39:41.32524Z,0,37,5,58,PS2.SD,standard
2019-12-10T05:47:41.198668Z,11,20,6,63,PS2.SD,standard
2019-12-09T03:58:55.683159Z,66,28,5,1,PS2,standard
2019-12-07T05:36:30.232563Z,0,100,0,0,PS2.SD,standard
2019-12-07T05:36:32.734989Z,0,100,0,0,PS2.SD,standard
2019-12-06T05:38:03.697137Z,0,94,0,6,PS2.SD,standard
2019-12-04T05:37:48.732777Z,0,2,5,93,PS2.SD,standard
2019-12-04T05:37:46.679665Z,0,3,40,57,PS2.SD,standard
2019-12-03T05:17:50.860848Z,0,100,0,0,PS2,standard
2019-12-01T05:38:15.493668Z,0,100,0,0,PS2.SD,standard
2019-11-30T05:26:40.010729Z,0,100,0,0,PS2,standard
2019-11-26T04:01:01.221928Z,22,57,10,8,PS2,test
2019-11-26T04:01:02.164598Z,11,76,0,9,PS2,standard
2019-11-26T05:19:09.356277Z,78,14,1,6,PS2,test
2019-11-23T05:19:38.244899Z,0,100,0,0,PS2,standard
2019-11-23T05:19:37.191604Z,0,100,0,0,PS2,standard
2019-11-20T04:01:29.7059Z,0,99,0,1,PS2,standard
2019-11-19T05:16:45.060636Z,0,94,2,4,PS2,standard
2019-11-18T05:05:18.468521Z,0,100,0,0,PS2,standard
2019-11-17T05:48:29.490484Z,0,100,0,0,PS2.SD,standard
2019-11-17T05:20:26.874406Z,0,100,0,0,PS2,standard
2019-11-17T05:08:35.516371Z,0,100,0,0,PS2,standard
2019-11-10T04:02:30.455703Z,0,90,2,8,PS2,standard
2019-11-10T05:48:43.875587Z,0,97,0,3,PS2.SD,standard
2019-11-10T05:48:41.850263Z,0,90,0,10,PS2.SD,standard
2019-11-08T04:02:30.347889Z,0,100,0,0,PS2,standard
2019-11-08T04:02:31.282171Z,0,100,0,0,PS2,standard
2019-11-05T05:21:13.399736Z,0,100,0,0,PS2,standard
2019-11-04T05:19:00.827506Z,0,100,0,0,PS2,standard
2019-11-03T05:49:23.569206Z,6,20,22,52,PS2.SD,standard
2019-11-01T05:18:00.944344Z,1,3,81,14,PS2,standard
2019-10-29T05:19:50.999604Z,0,7,3,89,PS2,standard
2019-10-28T05:50:03.613382Z,0,75,0,25,PS2.SD,standard
2019-10-28T05:50:01.569183Z,0,81,0,19,PS2.SD,standard
2019-10-28T04:06:41.313486Z,0,77,0,23,PS2,standard
2019-10-23T04:04:18.237266Z,0,92,0,8,PS2,standard
2019-10-23T05:18:41.052756Z,0,100,0,0,PS2,standard
2019-10-23T05:18:42.085079Z,0,100,0,0,PS2,standard
2019-10-22T05:17:17.871185Z,0,100,0,0,PS2,standard
2019-10-20T04:05:25.889342Z,0,100,0,0,PS2,standard
2019-10-19T05:18:53.103511Z,0,100,0,0,PS2,standard
2019-10-18T05:16:05.744288Z,38,2,57,2,PS2,standard
2019-10-16T05:18:34.42625Z,0,98,0,2,PS2,standard
2019-10-16T04:07:15.403065Z,0,3,0,97,PS2,standard
2019-10-16T04:07:16.342589Z,0,3,0,97,PS2,standard
2019-10-15T05:17:44.710814Z,0,100,0,0,PS2,standard
2019-10-15T05:20:08.196855Z,0,100,0,0,PS2,standard
2019-10-15T05:50:34.959743Z,0,100,0,0,PS2.SD,standard
2019-10-15T05:20:09.224984Z,0,100,0,0,PS2,standard
2019-10-14T05:17:16.445915Z,0,100,0,0,PS2,standard
2019-10-11T08:08:32.184878Z,1,95,0,4,PS2,standard
2019-10-11T05:20:47.556214Z,0,100,0,0,PS2,standard
2019-10-11T05:20:48.58277Z,0,100,0,0,PS2,standard
2019-10-10T04:06:45.225537Z,0,61,0,39,PS2,standard
