acquired,clouds,clear,heavy_haze,light_haze,sensor,quality
2019-12-17T05:40:43.725147Z,100,0,0,0,PS2.SD,test
2019-12-11T05:49:02.07023Z,1,38,38,23,PS2.SD,standard
2019-12-19T05:42:50.196362Z,92,4,4,0,PS2.SD,test
2019-12-19T05:48:49.265581Z,78,10,12,0,PS2.SD,test
2019-11-12T05:51:06.056341Z,35,14,46,5,PS2.SD,test
2019-11-12T05:51:08.103686Z,54,7,36,3,PS2.SD,test
2019-10-20T05:22:11.711177Z,0,90,1,9,PS2,standard
2019-12-04T05:23:14.413473Z,0,89,0,11,PS2,standard
2019-12-14T05:20:36.311154Z,69,30,0,1,PS2,test
2019-12-10T05:20:00.330459Z,9,20,35,35,PS2,standard
2019-12-10T04:01:05.560796Z,0,8,79,13,PS2,standard
2019-12-09T05:23:10.148628Z,31,13,55,1,PS2,standard
2019-12-08T05:39:39.964788Z,0,95,0,5,PS2.SD,standard
2019-12-07T05:23:01.601659Z,0,100,0,0,PS2,standard
2019-12-04T05:07:50.317616Z,0,58,1,41,PS2,standard
2019-12-04T05:49:52.235058Z,0,46,0,54,PS2.SD,standard
2019-12-04T05:49:50.152062Z,0,78,0,22,PS2.SD,standard
2019-12-01T05:21:53.512169Z,0,100,0,0,PS2,standard
2019-11-30T04:03:23.907036Z,0,100,0,0,PS2,standard
2019-11-28T04:01:45.403239Z,11,60,24,2,PS2,test
2019-11-28T05:21:36.229949Z,54,23,2,16,PS2,standard
2019-11-27T05:21:14.96658Z,44,24,17,15,PS2,standard
2019-11-26T05:49:50.102101Z,2,18,36,45,PS2.SD,standard
2019-11-24T04:02:02.547399Z,0,100,0,0,PS2,standard
2019-11-24T05:41:12.240943Z,0,100,0,0,PS2.SD,standard
2019-11-23T05:20:28.52833Z,0,100,0,0,PS2,standard
2019-11-21T05:21:11.576353Z,18,13,69,0,PS2,standard
2019-11-21T05:21:12.628074Z,29,21,49,1,PS2,standard
2019-11-20T05:22:01.948473Z,0,100,0,0,PS2,standard
2019-11-19T05:19:41.389679Z,0,100,0,0,PS2,standard
2019-11-19T05:50:17.502434Z,0,81,0,19,PS2.SD,standard
2019-11-19T05:50:19.564983Z,0,33,2,65,PS2.SD,standard
2019-11-18T04:03:20.340047Z,0,100,0,0,PS2,standard
2019-11-18T04:03:19.401572Z,0,100,0,0,PS2,standard
2019-11-17T05:20:39.005432Z,0,100,0,0,PS2,standard
2019-11-15T05:19:02.234424Z,74,12,14,0,PS2,standard
2019-11-11T04:04:08.939099Z,7,5,87,1,PS2,standard
2019-11-11T04:04:09.872856Z,2,17,62,19,PS2,standard
2019-11-11T05:22:29.927487Z,35,7,58,1,PS2,standard
2019-11-10T05:20:30.107893Z,0,100,0,0,PS2,standard
2019-11-08T05:19:16.071913Z,0,100,0,0,PS2,standard
2019-11-06T05:21:42.876408Z,1,94,0,5,PS2,standard
2019-11-05T05:51:08.993182Z,0,100,0,0,PS2.SD,standard
2019-11-03T05:20:34.826425Z,34,13,48,5,PS2,test
2019-11-01T05:20:14.665547Z,0,17,83,1,PS2,standard
2019-10-29T04:09:03.409495Z,0,6,15,78,PS2,standard
2019-10-27T05:21:07.398866Z,0,100,0,0,PS2,standard
2019-10-26T05:18:29.393161Z,0,93,0,7,PS2,standard
2019-10-25T04:06:43.09796Z,0,2,95,3,PS2,standard
2019-10-23T04:07:35.345448Z,0,100,0,0,PS2,standard
2019-10-23T05:20:03.205616Z,0,100,0,0,PS2,standard
2019-10-23T05:20:02.172244Z,0,100,0,0,PS2,standard
2019-10-23T05:52:06.414304Z,0,99,0,1,PS2.SD,standard
2019-10-23T05:52:08.491534Z,0,96,0,4,PS2.SD,standard
2019-10-22T04:07:48.394105Z,0,100,0,0,PS2,standard
2019-10-22T05:19:28.756993Z,0,100,0,0,PS2,standard
2019-10-21T05:13:23.350946Z,0,100,0,0,PS2,standard
2019-10-20T04:08:29.944739Z,0,100,0,0,PS2,standard
2019-10-20T05:19:46.469817Z,0,100,0,0,PS2,standard
2019-10-19T04:08:19.452322Z,0,100,0,0,PS2,standard
2019-10-19T05:37:48.08789Z,0,100,0,0,PS2.SD,standard
2019-10-17T05:53:15.222576Z,0,19,4,78,PS2.SD,standard
2019-10-16T08:10:35.051072Z,0,46,2,52,PS2,standard
2019-10-16T08:10:33.95531Z,0,60,0,40,PS2,standard
2019-10-16T05:23:50.846128Z,0,92,0,8,PS2,standard
2019-10-16T05:51:32.350383Z,0,34,0,66,PS2.SD,standard
2019-10-14T05:11:33.914889Z,0,100,0,0,PS2,standard
2019-10-13T05:11:09.236683Z,0,100,0,0,PS2,standard
2019-10-12T04:09:35.825539Z,0,15,0,85,PS2,standard
2019-10-12T05:20:45.465809Z,0,100,0,0,PS2,standard
2019-10-11T05:38:26.114468Z,0,95,0,5,PS2.SD,standard
2019-10-10T04:09:51.153278Z,0,18,0,82,PS2,standard
2019-10-10T05:22:02.320916Z,0,99,0,1,PS2,standard
2019-10-10T05:52:24.439769Z,0,96,0,4,PS2.SD,standard
2019-10-10T05:52:22.378793Z,0,94,0,6,PS2.SD,standard
