acquired,clouds,clear,heavy_haze,light_haze,sensor,quality
2019-12-12T05:49:50.923771Z,42,23,0,0,PS2.SD,test
2019-11-26T05:43:20.940975Z,22,9,70,0,PS2.SD,test
2019-12-12T05:41:36.223045Z,5,33,1,0,PS2.SD,test
2019-12-19T05:48:51.354869Z,80,8,12,0,PS2.SD,test
2019-11-13T05:37:47.881503Z,46,11,43,0,PS2.SD,test
2019-10-31T05:41:18.102422Z,0,1,0,99,PS2.SD,standard
2019-11-21T05:41:57.410814Z,81,4,15,0,PS2.SD,test
2019-11-12T05:51:10.150506Z,64,6,30,0,PS2.SD,test
2019-12-05T05:22:30.155497Z,0,100,0,0,PS2,standard
2019-12-04T05:23:12.314224Z,0,21,18,61,PS2,standard
2019-12-04T05:23:11.2646Z,0,9,34,57,PS2,standard
2019-12-06T05:22:56.284391Z,0,47,11,42,PS2,standard
2019-12-11T05:23:21.124589Z,0,64,0,36,PS2,standard
2019-12-11T05:23:22.170019Z,0,50,2,48,PS2,standard
2019-12-10T04:01:08.445429Z,0,5,86,9,PS2,standard
2019-12-08T05:39:35.834447Z,0,89,0,11,PS2.SD,standard
2019-12-08T05:39:37.899617Z,0,93,0,7,PS2.SD,standard
2019-12-04T05:07:47.250007Z,0,9,63,29,PS2,standard
2019-12-04T05:07:48.272369Z,0,7,52,42,PS2,standard
2019-12-04T05:49:54.318054Z,0,29,1,70,PS2.SD,standard
2019-12-03T04:02:04.12612Z,0,100,0,0,PS2,standard
2019-12-03T05:11:35.672116Z,0,100,0,0,PS2,standard
2019-12-02T04:01:29.804834Z,0,100,0,0,PS2,standard
2019-12-01T05:20:54.92794Z,0,100,0,0,PS2,standard
2019-11-30T05:22:51.758898Z,0,100,0,0,PS2,standard
2019-11-28T04:01:48.239112Z,0,12,87,1,PS2,standard
2019-11-28T05:21:34.125982Z,48,16,31,3,PS2,standard
2019-11-25T05:21:40.521121Z,0,100,0,0,PS2,standard
2019-11-24T05:23:26.653036Z,0,100,0,0,PS2,standard
2019-11-21T05:21:09.472385Z,18,29,53,0,PS2,standard
2019-11-20T05:21:59.847651Z,0,100,0,0,PS2,standard
2019-11-19T05:50:21.627007Z,0,13,6,81,PS2.SD,standard
2019-11-18T04:03:23.153901Z,0,100,0,0,PS2,standard
2019-11-15T04:03:40.806405Z,2,49,33,16,PS2,standard
2019-11-11T04:04:12.674127Z,43,6,48,3,PS2,standard
2019-11-08T05:19:58.02946Z,0,100,0,0,PS2,standard
2019-11-07T04:07:02.631794Z,0,96,0,4,PS2,standard
2019-11-06T05:21:40.785547Z,21,67,0,11,PS2,standard
2019-11-05T05:23:51.392285Z,0,100,0,0,PS2,standard
2019-11-05T05:23:50.347903Z,0,100,0,0,PS2,standard
2019-11-03T05:20:32.738185Z,0,77,0,23,PS2,standard
2019-11-03T05:20:31.693804Z,0,87,0,13,PS2,standard
2019-10-30T05:21:26.901513Z,0,100,0,0,PS2,standard
2019-10-30T05:52:41.140395Z,0,96,0,4,PS2.SD,standard
2019-10-29T04:09:06.203426Z,0,65,0,35,PS2,standard
2019-10-29T05:20:00.375866Z,0,98,0,2,PS2,standard
2019-10-29T05:40:28.762934Z,0,69,2,30,PS2.SD,standard
2019-10-23T04:07:38.154059Z,0,100,0,0,PS2,standard
2019-10-23T05:20:00.10655Z,0,100,0,0,PS2,standard
2019-10-23T05:52:10.569287Z,0,97,0,3,PS2.SD,standard
2019-10-22T04:07:51.19223Z,0,100,0,0,PS2,standard
2019-10-21T05:13:21.232822Z,0,100,0,0,PS2,standard
2019-10-20T04:08:32.755448Z,0,100,0,0,PS2,standard
2019-10-20T05:19:43.368129Z,0,92,1,7,PS2,standard
2019-10-19T04:08:22.252544Z,0,100,0,0,PS2,standard
2019-10-19T05:37:45.607483Z,0,100,0,0,PS2.SD,standard
2019-10-17T05:12:15.699106Z,0,1,10,89,PS2,standard
2019-10-17T05:12:14.642141Z,0,1,1,98,PS2,standard
2019-10-17T05:53:17.292989Z,0,2,32,66,PS2.SD,standard
2019-10-16T05:21:01.658573Z,0,100,0,0,PS2,standard
2019-10-16T05:23:48.782006Z,0,100,0,0,PS2,standard
2019-10-14T05:11:30.747665Z,0,100,0,0,PS2,standard
2019-10-12T04:09:38.649354Z,0,18,0,82,PS2,standard
2019-10-11T05:38:24.109591Z,0,88,0,12,PS2.SD,standard
2019-10-11T05:38:22.104713Z,0,85,0,15,PS2.SD,standard
2019-10-10T04:09:53.984957Z,0,52,0,48,PS2,standard
2019-10-10T05:22:00.256794Z,0,100,0,0,PS2,standard
2019-10-10T05:52:26.50127Z,0,98,0,2,PS2.SD,standard
2019-12-18T08:04:57.336439Z,72,27,0,1,PS2,test
