acquired,clouds,clear,heavy_haze,light_haze,sensor,quality
2019-12-12T05:49:50.923771Z,42,23,0,0,PS2.SD,test
2019-11-26T05:43:22.983077Z,16,6,76,2,PS2.SD,standard
2019-12-12T05:41:38.280351Z,10,27,0,0,PS2.SD,test
2019-12-19T05:48:51.354869Z,80,8,12,0,PS2.SD,test
2019-11-13T05:37:49.898438Z,76,9,15,0,PS2.SD,test
2019-10-31T05:41:18.102422Z,0,1,0,99,PS2.SD,standard
2019-11-21T05:41:59.422507Z,23,1,71,4,PS2.SD,standard
2019-11-12T05:51:08.103686Z,54,7,36,3,PS2.SD,test
2019-12-05T05:22:31.205122Z,0,100,0,0,PS2,standard
2019-12-04T05:23:13.363849Z,0,47,6,47,PS2,standard
2019-12-11T05:23:23.21545Z,0,67,0,33,PS2,standard
2019-12-09T05:23:09.101625Z,97,0,0,0,PS2,standard
2019-12-08T05:39:37.899617Z,0,93,0,7,PS2.SD,standard
2019-12-04T05:07:49.294731Z,0,48,11,41,PS2,standard
2019-12-04T05:49:52.235058Z,0,46,0,54,PS2.SD,standard
2019-12-03T04:02:02.224527Z,0,100,0,0,PS2,standard
2019-12-03T04:02:03.175061Z,0,100,0,0,PS2,standard
2019-12-03T05:11:36.697624Z,0,100,0,0,PS2,standard
2019-12-02T04:01:28.852727Z,0,98,0,2,PS2,standard
2019-12-01T05:21:52.460447Z,0,100,0,0,PS2,standard
2019-12-01T05:20:57.029811Z,0,100,0,0,PS2,standard
2019-11-30T05:22:52.809047Z,0,100,0,0,PS2,standard
2019-11-28T04:01:47.293821Z,2,12,85,1,PS2,standard
2019-11-28T04:01:46.34853Z,2,32,64,1,PS2,standard
2019-11-28T05:21:35.177703Z,61,7,25,6,PS2,standard
2019-11-25T05:21:41.573367Z,0,100,0,0,PS2,standard
2019-11-21T05:21:10.524631Z,3,6,92,0,PS2,standard
2019-11-20T05:51:44.465101Z,0,100,0,0,PS2.SD,standard
2019-11-20T05:22:00.898324Z,0,97,0,3,PS2,standard
2019-11-18T04:03:21.277998Z,0,100,0,0,PS2,standard
2019-11-15T04:03:39.869502Z,17,24,51,8,PS2,standard
2019-11-11T04:04:10.806613Z,20,4,59,17,PS2,standard
2019-11-08T05:19:59.072269Z,0,100,0,0,PS2,standard
2019-11-07T04:07:00.763756Z,0,92,0,8,PS2,standard
2019-11-06T05:52:08.018471Z,46,47,3,4,PS2.SD,standard
2019-11-06T05:21:41.830978Z,1,75,4,20,PS2,standard
2019-11-05T05:23:52.437191Z,0,100,0,0,PS2,standard
2019-11-03T05:20:33.782567Z,6,8,52,34,PS2,standard
2019-10-30T05:21:27.942225Z,0,100,0,0,PS2,standard
2019-10-30T05:52:39.065788Z,0,92,0,8,PS2.SD,standard
2019-10-29T04:09:04.340631Z,0,9,11,80,PS2,standard
2019-10-29T05:20:01.415529Z,0,86,0,14,PS2,standard
2019-10-29T05:40:28.762934Z,0,69,2,30,PS2.SD,standard
2019-10-27T05:21:06.363922Z,0,100,0,0,PS2,standard
2019-10-23T04:07:36.281827Z,0,100,0,0,PS2,standard
2019-10-23T05:20:01.139397Z,0,100,0,0,PS2,standard
2019-10-23T05:20:02.172244Z,0,100,0,0,PS2,standard
2019-10-23T05:52:08.491534Z,0,96,0,4,PS2.SD,standard
2019-10-22T04:07:50.259522Z,0,100,0,0,PS2,standard
2019-10-22T05:19:27.722049Z,0,100,0,0,PS2,standard
2019-10-21T05:13:22.291884Z,0,100,0,0,PS2,standard
2019-10-20T05:19:45.435921Z,0,98,0,2,PS2,standard
2019-10-20T05:19:44.402025Z,0,94,0,6,PS2,standard
2019-10-19T04:08:20.385555Z,0,100,0,0,PS2,standard
2019-10-19T05:37:48.08789Z,0,100,0,0,PS2.SD,standard
2019-10-17T05:53:15.222576Z,0,19,4,78,PS2.SD,standard
2019-10-17T05:53:17.292989Z,0,2,32,66,PS2.SD,standard
2019-10-16T05:21:03.725316Z,0,100,0,0,PS2,standard
2019-10-16T05:23:49.814329Z,0,100,0,0,PS2,standard
2019-10-14T05:11:32.859497Z,0,100,0,0,PS2,standard
2019-10-14T04:09:31.214539Z,0,64,0,36,PS2,standard
2019-10-12T04:09:37.708257Z,0,12,0,88,PS2,standard
2019-10-11T05:38:24.109591Z,0,88,0,12,PS2.SD,standard
2019-10-10T04:09:53.041239Z,0,42,0,58,PS2,standard
2019-10-10T05:22:01.289118Z,0,100,0,0,PS2,standard
2019-10-10T05:52:24.439769Z,0,96,0,4,PS2.SD,standard
2019-12-18T08:04:58.414375Z,74,22,0,4,PS2,standard
